_id,name,cuisines,address,priceRange,timeOpen,average_score,classification,latitude,longitude
67812ec1514dba6089ed91b4,"Thành Biển - Bún Bề Bề, Cơm Rang Hải Sản & Bún Chả Nem Cua Bể",Món Bắc,"251 Thụy Khuê, P. Thụy Khuê, Quận Tây Hồ, Hà Nội",30.000đ - 60.000đ,06:00 - 13:00,7.2,Positive,21.0431314,105.8172662
67812ec1514dba6089ed92ab,Phở Hồng - Phở Gà,Món Việt,"15 Hàng Hòm, P. Hàng Gai, Quận Hoàn Kiếm, Hà Nội",25.000đ - 33.000đ,06:00 - 23:00,7.2,Positive,21.03184578334066,105.84883146719747
67812ec1514dba6089ed9181,Anh Hoa - Vịt Quay Bắc Kinh,Món Việt,"171 Tô Hiệu, P. Hà Cầu, Quận Hà Đông, Hà Nội",10.000đ - 300.000đ,10:00 - 23:59,7.2,Positive,20.96379035,105.77374115
67812ec1514dba6089ed915c,Gà Rán KFC - Bà Triệu,Mỹ,"292 Bà Triệu, Quận Hai Bà Trưng, Hà Nội",50.000đ - 110.000đ,09:00 - 22:00,7.2,Positive,21.012727557051992,105.84835348652774
67812ec1514dba6089ed918e,Bún Chả - Chợ Xanh Định Công,Hà Nội,"Ki Ốt 23 Chợ Xanh Định Công, P. Định Công, Quận Hoàng Mai, Hà Nội",25.000đ - 50.000đ,10:00 - 14:00,7.2,Positive,,
67812ec1514dba6089ed9199,Minh Đức - Gà Tươi - Nam Từ Liêm,Món Việt,"29 Nguyễn Hoàng, P. Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",100.000đ - 300.000đ,10:00 - 22:00,7.2,Positive,21.02917176664336,105.77714386813462
67812ec1514dba6089ed9108,Cơm Gà Bon Bon,Món Việt,"19 Ngõ 22 Phố Lụa, P. Vạn Phúc, Quận Hà Đông, Hà Nội",10.000đ - 60.000đ,10:00 - 22:00,7.2,Positive,20.980216,105.775272
67812ec1514dba6089ed9135,Bà Vượng - Bún Chả Nem Cua Bể - Ngô Sĩ Liên,Món Bắc,"29 Ngõ Ngô Sĩ Liên, Ngô Sĩ Liên, Quận Đống Đa, Hà Nội",10.000đ - 50.000đ,07:00 - 14:00,7.2,Positive,,
67812ec1514dba6089ed944e,Bánh Kem Hưng Thịnh,Món Việt,"100 Thạch Hãn, P. Thuận Hòa, Tp. Huế, Huế",70.000đ - 350.000đ,07:00 - 22:00,7.2,Positive,16.469030375311622,107.56872403434713
67812ec1514dba6089ed9164,Chè Bốn Mùa - Hàng Cân,Món Việt,"4 Hàng Cân, P. Hàng Cân, Quận Hoàn Kiếm, Hà Nội",15.000đ - 22.000đ,09:00 - 22:00,7.2,Positive,,
67812ec1514dba6089ed945a,Bún Trộn Mệ Già,Món Huế,"Cạnh Số 5 Trần Quang Khải, Tp. Huế, Huế",8.000đ - 10.000đ,13:00 - 17:00,7.173076923076923,Positive,,
67812ec1514dba6089ed9229,Lượng Béo - Bún Ốc Gia Truyền,Món Việt,"12 Ngõ 12 Đào Tấn, P. Cống Vị, Quận Ba Đình, Hà Nội",25.000đ - 30.000đ,06:00 - 21:00,7.16,Positive,21.03356645058798,105.80946148181071
67812ec1514dba6089ed9158,The Booklink Cafe - Đọc Sách Và Thưởng Thức Cafe,Món Việt,"Bếp 4, Chợ Sinh Viên, ĐH Nông Nghiệp, Huyện Gia Lâm, Hà Nội",20.000đ - 55.000đ,08:00 - 22:00,7.16,Positive,,
67812ec1514dba6089ed9178,Hà Trang - Ốc Nóng,Hà Nội,"1 Đinh Liệt, P. Hàng Đào, Quận Hoàn Kiếm, Hà Nội",50.000đ - 110.000đ,17:00 - 20:00,7.16,Positive,,
67812ec1514dba6089ed9307,Xôi Khang & Xôi Xéo Hà Nội,Hà Nội,"86A Đường 30 Tháng 4, P. Phú Hòa, Thành Phố Thủ Dầu Một, Bình Dương",12.000đ - 22.000đ,05:30 - 11:30 | 15:00 - 21:30,7.16,Positive,10.973814716698277,106.6716926581233
67812ec1514dba6089ed9235,Lẩu Ếch Hà My,Hà Nội,"70 Ngõ 36 Giang Văn Minh, Quận Ba Đình, Hà Nội",50.000đ - 110.000đ,09:00 - 22:00,7.16,Positive,21.03344125770317,105.82839224689799
67812ec1514dba6089ed90ef,Nam An Quán - Ẩm Thực Huế,Món Huế,"56 Nguyên Hồng, P. Láng Hạ, Quận Đống Đa, Hà Nội",25.000đ - 39.000đ,07:00 - 21:30,7.16,Positive,,
67812ec1514dba6089ed91d8,Gà Rán Popeyes - TTTM D2 Giảng Võ,empty,"Tầng 1, TTTM D2 Giảng Võ, P. Giảng Võ, Quận Ba Đình, Hà Nội",3.000đ - 200.000đ,10:00 - 22:00,7.16,Positive,,
67812ec1514dba6089ed91c8,Minh Vũ - Đồ Ăn Hàn Quốc Online,Món Hàn,"9 Ngõ 3/14 Nhân Hòa, P. Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",30.000đ - 80.000đ,09:00 - 22:00,7.16,Positive,,
67812ec1514dba6089ed9297,Sữa Chua Dẻo - 254D Minh Khai,Món Việt,"Ngõ 254D Ngách 54 Số Nhà 38 Minh Khai, Quận Hai Bà Trưng, Hà Nội",20.000đ - 50.000đ,09:00 - 22:00,7.16,Positive,,
